corpus,workflow,field,gold_acc,second_acc,delta_second_minus_gold,n
pilot,w19_frequency_rules_conservative_pilot,horizon_type,1.000,1.000,0.000,50
pilot,w19_frequency_rules_conservative_pilot,horizon_unit,1.000,1.000,0.000,50
pilot,w19_frequency_rules_conservative_pilot,node_unit,0.800,0.840,0.040,50
pilot,w19_frequency_rules_conservative_pilot,target_class,0.740,0.720,-0.020,50
pilot,w19_frequency_rules_conservative_pilot,task_class,0.880,0.900,0.020,50
pilot,w19_frequency_rules_conservative_pilot,venue_type,0.740,0.740,0.000,50
pilot,w19_frequency_rules_conservative_pilot,year,0.820,0.860,0.040,50
pilot,balanced__qwen3_coder_30b__schema,coding_status,0.700,0.700,0.000,50
pilot,balanced__qwen3_coder_30b__schema,confidence,0.540,0.540,0.000,50
pilot,balanced__qwen3_coder_30b__schema,dataset_family,0.660,0.640,-0.020,50
pilot,balanced__qwen3_coder_30b__schema,domain_class,0.840,0.840,0.000,50
pilot,balanced__qwen3_coder_30b__schema,frequency_unit,0.800,0.840,0.040,50
pilot,balanced__qwen3_coder_30b__schema,frequency_value,0.780,0.840,0.060,50
pilot,balanced__qwen3_coder_30b__schema,graph_node_count_max,0.760,0.780,0.020,50
pilot,balanced__qwen3_coder_30b__schema,graph_node_count_min,0.720,0.740,0.020,50
pilot,balanced__qwen3_coder_30b__schema,graph_node_count_status,0.840,0.900,0.060,50
pilot,balanced__qwen3_coder_30b__schema,has_public_code,0.820,0.900,0.080,50
pilot,balanced__qwen3_coder_30b__schema,has_public_dataset,0.380,0.420,0.040,50
pilot,balanced__qwen3_coder_30b__schema,horizon_max_value,0.880,0.880,0.000,50
pilot,balanced__qwen3_coder_30b__schema,horizon_min_value,0.780,0.780,0.000,50
pilot,balanced__qwen3_coder_30b__schema,horizon_type,0.580,0.580,0.000,50
pilot,balanced__qwen3_coder_30b__schema,horizon_unit,0.860,0.860,0.000,50
pilot,balanced__qwen3_coder_30b__schema,node_unit,0.740,0.760,0.020,50
pilot,balanced__qwen3_coder_30b__schema,target_class,0.600,0.580,-0.020,50
pilot,balanced__qwen3_coder_30b__schema,task_class,0.800,0.820,0.020,50
pilot,balanced__qwen3_coder_30b__schema,venue_type,0.660,0.600,-0.060,50
pilot,balanced__qwen3_coder_30b__schema,year,0.780,0.840,0.060,50
pilot,balanced__qwen3_coder_30b__guided,coding_status,0.740,0.740,0.000,50
pilot,balanced__qwen3_coder_30b__guided,confidence,0.540,0.540,0.000,50
pilot,balanced__qwen3_coder_30b__guided,dataset_family,0.740,0.740,0.000,50
pilot,balanced__qwen3_coder_30b__guided,domain_class,0.900,0.900,0.000,50
pilot,balanced__qwen3_coder_30b__guided,frequency_unit,0.780,0.840,0.060,50
pilot,balanced__qwen3_coder_30b__guided,frequency_value,0.760,0.840,0.080,50
pilot,balanced__qwen3_coder_30b__guided,graph_node_count_max,0.860,0.840,-0.020,50
pilot,balanced__qwen3_coder_30b__guided,graph_node_count_min,0.840,0.820,-0.020,50
pilot,balanced__qwen3_coder_30b__guided,graph_node_count_status,0.880,0.900,0.020,50
pilot,balanced__qwen3_coder_30b__guided,has_public_code,0.780,0.720,-0.060,50
pilot,balanced__qwen3_coder_30b__guided,has_public_dataset,0.800,0.860,0.060,50
